id,titlu,pret,moneda,nr_camere,suprafata,link,imagini_paths,numar_imagini,observatii,descriere,data_cont,nr_postari,pret_estim,data_cont_parsed,vechime_zile,scam,delta_pret
1,Anunț,279000,EUR,3,134,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/case-vile/anunt/vila-3-camere-hanul-cu-peste-lac/3hghhh7582h87he3139056g70fgg7ggg.html,images_case/anunt_1_img_0.webp|images_case/anunt_1_img_1.webp|images_case/anunt_1_img_2.webp|images_case/anunt_1_img_3.webp,4,,"VG Real Estate vă propune spre vânzare o vilă elegantă situată în Zona Mamaia Sat,Hanul cu Peste,lac Siutghiol ideală pentru familie/birou/sediu firmă. Proprietatea oferă un spațiu generos, finisaje de calitate și o curte perfectă pentru relaxare. Detalii proprietate: •	Suprafață utilă: 134mp •	Suprafață teren: 60 mp •	Număr camere: 3 •	Compartimentare: Decomandată •	Regim înălțime: Parter +1 •	An construcție: 2021 •	Material construcție: Cărămidă / Beton •	Finisaje: Moderne •	Utilități: Apă, gaz, curent, canalizare, internet, TV Dotări și facilități: •	Bucătărie: Mobilată și utilată complet •	Baie: 2 băi •	Încălzire: Centrală proprie •	Aer condiționat: Da •	Sistem de securitate: Supraveghere video •	Piscină: Nu •	Ponton la lac Parcare: •     Parcare disponibilă în fata casei Puncte de interes în apropiere •	Magazine: Mega Image •	Lac / ponton la lac • Preț: 279000 € usor negociabil Modalități de plată: Cash / Credit ipotecar Pentru mai multe detalii și vizionări, nu ezitați să ne contactați! ID anunț : 1755072752",13.09.2022,188,136908.171875,2022-09-13,1181.0,0,142091.828125
2,Anunț,229990,EUR,6,214,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/casa/anunt/casa-cu-multe-oportunitati-pretabila-regim-hotelier-sau-casa-de-locuit/97e1219e15d47831dedf3ed22e00h7f1.html,images_case/anunt_2_img_0.webp|images_case/anunt_2_img_1.webp|images_case/anunt_2_img_2.webp|images_case/anunt_2_img_3.webp,4,,"In Cisnadie, in zona istorica este o casa individuala de vanzare , comparabila cu o fortareata din punct de vedere al intimitatii, compusa din 3 corpuri de cladire cu u suprafata utila 214 mp utili care se pot amenaja pentru regim hotelier sau zona de locuit pentru o familie numeroasa. Dar aceasta casa se poate combina astfel incat sa poti locui in curte si sa poti avea si spatiu de inchiriat. Casa beneficieaza de o intimitate sporita , deoarece in interiorul curtii nu exista vreun geam de la vecini. Curtea este ca o fortareata inchisa. O parte a casei a fost construita in 1930, iar restul sunt constructii mai noi. In anii1980 si 1995. Corpul 1 de casa este compus din camera, bucatarie si baie, si are in total o suprafata de 50 mp utili. Corpul 2 si 3 comunica intre ele si sunt compuse in total din 6 camere, 4 bai, 1 bucatarie si 2 holuri, avand o suprafata totala de 164 mp utili. Curtea beneficiaza de 2 pivnite generoase, de o frumoasa terasa intre vegetatia curtii care este inchisa cu sticla, iar in curtea si-a pastrat nota autentica prin pastrarea corlatei desfasurata pe 2 parti ale curtii. Incalzirea este prin centrale proprii si sunt 2. Una pentru un corp de casa, iar a doua centrala deserveste celelalte 2 corpuri de cladire din curte. Geamurile sunt tip termopan, iar pardoseala este tip parchet si gresie. Suprafata totala a curtii este de 800 mp, din care terenul liber este de 518 mp si se regaseste atat in curte, cat si in spatele curtii intr-o gradina care poate fi una exotica, sau una de legume . In curte se pot parca mai multe masini, astfel incat nu vor fi probleme cu locurile de parcare din strada. Zona unde este aceasta casa este una istorica si foarte bine cotata din punct de vedere imobiliar, mai ales daca se doreste dezvoltarea unei afaceri. Tot zona buna este si daca doresti sa locuiesti permanent, deoarece, desi casa este in zona centrala si zona turistica, in curte este liniste si multa intimitate. Pret: 229.990€ Cod ofertă / ID: P22337 Sună-ne acum la 0369.823.823 și află detalii despre această proprietate de vanzare din Cisnadie, dar și despre alte proprietăți potrivite pentru tine. Apartamente de vanzare Sibiu Case de vanzare Sibiu Informatii speciale: 1. Descarcă aplicația de mobilul tau "" TABOO Imobiliare "" din Apple Store, Google Play sau Huawei AppGallery pentru a afla instantaneu noile proprietăți care intră pe piață. 2. Dacă ai o proprietate pe care vrei să o vinzi sau să o închiriezi , suntem aici pentru tine! Contactează-ne pentru o evaluare gratuită fără obligații și vei descoperi avantajele de a lucra cu o echipă dedicată și experimentată. 3. Dacă vrei sa incepi o cariera de agent imobiliar , suna la 0369.823.823 si programeaza o intalnire pentru a afla toate beneficiile si avantajele. Intra pe www.TABOO.ro și descoperă cele mai recente oferte, actualizate zilnic. ID anunț : 1733994309",03.05.2018,1329,210692.125,2018-03-05,2834.0,0,19297.875
3,Anunț,274000,EUR,4,266,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/case-vile/anunt/casa-cu-4-camere-2-bai-si-teren-de-266-mp-zona-arhitectilor/2dgfgg2198797580ef42di6866eh5i5d.html,images_case/anunt_3_img_0.webp|images_case/anunt_3_img_1.webp|images_case/anunt_3_img_2.webp|images_case/anunt_3_img_3.webp,4,,"De vanzare casa mobilata si utilata cu 4 camere decomandate, 2 bai, balcon si terasa, dispusa pe Parter + Etaj+ Pod, amplasata pe un teren de 266 mp, localizata in zona Arhitectilor. Curtea libera a casei insumeaza 201 mp cu deschidere de 10 m si dispune de acces auto cu poarta automatizata, curtea dispune de imprejmuire cu gard metalic, cale de acces auto si pietonala pavata cu dale din beton, gazon insamantat si arbusti decorativi. Casa dispune de o suprafata utila de 112 mp, acestia fiind distribuiti pe parter si etaj. Parterul este alcatuit din camera de zi, bucataria partial separata care poate fi delimitata foarte usor cu un perete din sticla sau rigips si pozitionata usa, hol de acces la care adaugam si locul special amenajat pentru cuier si pantofar, baie dotata cu geam pentru aerisire si cada, hol cu casa scarii. Etajul este compus din 3 dormitoare dintre care unul matrimonial si cele 2 dormitoare destinate copiilor sau oaspetilor, baia dotata cu geam cabina de dus. Separat de suprafata utila casa dispune si de un balcon de aproximativ 9 mp in care accesul se face din dormitorul matrimonial si podul in suprafata egala cu etajul iar accesul facanduse prin intermediul unei scari retractabile pozitionate pe hol. Parcarea se realizeaza in curtea imobilului unde se pot parca aproximativ 3 autoturisme plus alte 3 in fata casei. Din punct de vedere al finisajelor si al dotarilor aceasta dispune de: centrala termica marca Bosch si incalzire in pardoseala cu termostatare individuala pentru fiecare incapere, distribuitor separat pentru Parter si Etaj,  usi de lemn la interior marca Naturen pereti tencuiti ( tencuiala var-ciment ), gletuiti si zugraviti in lavabila alba si zugraveli stucco venetian, pardoseala placata integral cu gresie speciala pentru incalzirea in pardoseala, obiecte sanitare suspendate montate pe pozitie, instalatii electrice cu tablou general individual si sigurante pentru consumatorii de putere, prize si intrerupatoare montate marca Schneider, instalatii pentru curenti slabi TV, Internet, instalatie termica, interfon functional, acorduri apa-canal in baie si bucatarie, racord gaz metan in bucatarie si terasa, contorizari individuale si contoare montate pentru Gaz, Curent si Apa; Din punct de vedere structural aceasta dispune de: elevatie izolata, placata cu polistiren extrudat si acoperita cu tencuiala, zidarie din caramida Porotherm Wienerberger cu grosimea de 30 cm exterior si 25 cm interior, zidarie dubla intre case 60 cm + izolatie fonica din polistiren extrudat, pereti exteriori izolati cu vata bazaltica si tencuiala decorativa, tamplarie PVC marca Salamander 7 camere, 3 foi de sticla si protectie solara, glafuri interioare si exterioare, usa de acces din PVC izolatoare termic si fonic, acoperis tip sarpanta cu invelitoare tip tigla din beton marca Bramac ce include tot sistemul ( tigla, hidroizolatie, jgheaburi, burlane si parazapezi ); Locuinta se preda complet mobilata si utila, ceea ce include: mobilier de bucatarie realizat pe comanda din MDF infoliat si electrocasnice incastrate ( plita electrica, cuptor electric, masina de spalat vase, frigider, toate fiind marca Whirepool si Samsung ), mobilier de living, dormitorul matrimonial amenajat ca atare, un dormitor amenajat ca si dressing, altul amenajat ca si birou, baile complet amenajate cu obiecte sanitare incastrate si mobilierul specific. Valoarea de achizitie este de 274.000 euro, aceasta poatefi achizitionata si prin accesarea unui credit bancar. ID intern: 2931. ID anunț : 1756381945",10.07.2020,460,160733.5625,2020-10-07,1887.0,0,113266.4375
4,Anunț,47000,EUR,4,1000,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/case-vile/anunt/casa-demolabila-1000mp-in-sf-ilie-vechi/312ie1h7hfi67156egihff7332641gi1.html,,0,,"Blitz va propune spre vanzare o casa in zona Sf. Ilie vechi, casa avand o suprafata de 50-70 mp utili si teren in suprafata de 1000 mp. imobilul necesita o renovare completa sau demolare Casa se afla intr-o zona linistita departe de agitatia orasului dar la o distanta mica de acesta. Va asteptam la vizionare! Cod ofertă / ID BLITZ: P130280 ID anunț : 1724859413",07.05.2021,9948,21533.3515625,2021-07-05,1616.0,0,25466.6484375
5,Anunț,99000,EUR,3,88,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/case-vile/anunt/casa-cu-teren/009g41570e907fg21d8fg322i7858e9h.html,images_case/anunt_5_img_0.jpg|images_case/anunt_5_img_1.jpg|images_case/anunt_5_img_2.jpg|images_case/anunt_5_img_3.jpg,4,,"vand casa cu peste  1 hectar de teren intravilan in Topa de cris cu front stradal la E60 de 65 metri. casa si terenul reprezinta oportunitatea de a incepe o afacere in diferite domenii. Situata la 50 metri de biserica ortodoxa in centrul satului si la E60  casa  ofera locul ideal pentru mai multe proiecte (spatiu comercial,spalatorie auto, service auto,  proiect pe agricultura, proiecte turistice, se pot amenaja casute, locuri de joaca, precum si alte idei de proiecte rurale. Topa de cris se afla la 2 km de zona turistica Vadu crisului. Casa este constuita din caramida cu peretii de 50cm, ceea ce ofera o izolatie termica mare iar fundatia din piatra cioplita este foarte rezistenta . ID anunț : 1724007072",15.09.2017,1,152237.703125,2017-09-15,3005.0,0,-53237.703125
6,Anunț,120000,EUR,4,120,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/case-vile/anunt/casa-noua-de-vanzare-in-judetul-dambovita/6e82e4h71ge17d4215id61968336h652.html,images_case/anunt_6_img_0.jpg|images_case/anunt_6_img_1.jpg|images_case/anunt_6_img_2.jpg|images_case/anunt_6_img_3.jpg,4,,"Casa proiectata pentru cheltuieli minime la incalzire ! Casa are 4 camere cu suprafata utila de 120m2( la care se adauga 100m2 reprezentind suprafata podului mansardabil ). Este racordata la reteaua electrica, de apa , canalizare. Interioarele si instalatia electrica sunt finalizate . De asemeni usile sunt montate la toate camerele fiind executate din lemn masiv .Casa este situata in comuna Ludesti , judetul Dimbovita (la 1,30 ore de mers cu masina din Bucuresti pe un drum complet asfaltat) .In apropiere se afla orasele Targoviste si Gaesti .Localitatea beneficiaza de magazine alimentare ,brutarie,pizzerie,clinica medicala. Zona este deosebita fiind inconjurata de paduri de foioase si dealuri incarcate de pomi fructiferi. Terenul pe care este asezata casa are suprafata de 2100 m2 si este inconjurat cu gard . Este o casa pasiva (clasa energetica A) avind pereţii exteriori izolati cu Neopor (care este un polistiren cu densitate mare rezistent la incendiu) de 18cm la exterior si de 6cm la interior si deci pierderile de caldura sunt minime. Podul este imbracat in interior cu lambriu si poate fi facut locuibil daca se doreste. Acoperisul este realizat cu tabla Lindab sub care se afla un strat izolator de Neopor de 10 cm grosime care asigura o izolatie termica a podului .Tavanul este izolat cu un strat de polistiren de 10cm grosime .Fiind o casa pasiva(fara pierderi de caldura prin pereti) se poate obtine in interior o temperatura de 19 grade Celsius cind in exterior sunt -15grade Celsius si asta fara a incalzi in interior . Casa e compusa din 4 camere ,2 bai şi 2 bucatarii şi se preda la cheie la preţul menţionat. Imobilul are proiect al structurii de rezistenta,proiect pentru instalatia electrica si sanitara , autorizatie de constructie,cadastru,certificat energetic.Fundatia are 1,8m sub nivelul solului iar soclul casei are 1m peste nivelul solului .Îmobilul este proiectat sa reziste la seisme de peste 8 grade pe scara Richter fara a exista nici un impact asupra structurii de rezistenta. ID anunț : 1765059378",15.08.2011,1,233976.46875,2011-08-15,5228.0,0,-113976.46875
7,Anunț,98500,EUR,6,1800,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/case-vile/anunt/vand-casa-la-alb/3h6i751i7ed977d3d6feif2582813i71.html,images_case/anunt_7_img_0.webp|images_case/anunt_7_img_1.webp|images_case/anunt_7_img_2.jpg|images_case/anunt_7_img_3.jpg,4,,"Vând casă la alb aflată pe un teren de 1800mp împrejmuit cu gard din tablă în partea din fața iar în partea din spate este din plasă.Pe teren se află vita de vie în rod, livadă cu pomi fructiferi in rod, iar pe mijlocul terenului se poate cultiva legume,cu ieșire la un pârâu. Casa este pe doua nivele +pod,partea de jos are un living,bucătărie,baie,două dormitoare mari,casa centralei,terasa care poate fi folosita și ca garaj și beci.Partea de sus două dormitoare,o baie,dressing,cameră de oaspeți și balcon si podul. Tâmplarie tip lemn maro cu geam tip oglindă,șape sus și jos,instalație sanitară  termică sus-jos,apa trasă în toată casa,inclusiv în beci,fosa, tablă metalică din oțel zincat.Are trase in casa in toate camerele,toate cablurile,Tv,internet si sistem de alarma, iar la poarta sistem automat cu deschidere electrica.Este amplasată intr-un loc liniștit cu vecini buni la 20 de minute de oraș. Mai multe detalii la telefon: ID anunț : 1724776842",13.12.2023,3,154430.703125,2023-12-13,725.0,0,-55930.703125
8,Anunț,130000,EUR,3,100,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/vila/anunt/vand-casa-in-comuna-berceni-ilfov-130000-euro-merita-vazuta/3i93e4f1e9d374e41e21f2f97h8275g1.html,images_case/anunt_8_img_0.jpg|images_case/anunt_8_img_1.jpg|images_case/anunt_8_img_2.jpg|images_case/anunt_8_img_3.jpg,4,,"Vând casa în comuna Berceni Ilfov strada Zanelor Suprafața utila 100 mp  Suprafața teren 200 mp 3 dormitoare 2 bai sufragerie  bucatarie 2 balcoane - panouri fotovoltaice  6 kw  cu dosar de prosumator -caramida rustica aparenta, -usa intrare metalica cu frier forjat și sticla mata , -ferestre salamander 82 mm 3 rânduri de garnitura  sticla tripan 4s -rulouri electrice acționate electric smart cu telecomanda buton și wifi -gardul laterale și spate placi beton iar frontal soclu și stalpi beton  și fier aspect placut Utilități : put ( cămin hidrofor f mare tip beci1.7X1.7 înălțime2.2 m) gaze, curent,  cablu net tv ,fosa septica, asfalt la 60 m ,zona linistita  casa face parte dintr-un ansamblu de 6 case stadiul construcției finisaje duplex 1 duplex 2 în curs de ridicare etapa 1 Izolata  exterior polistiren eps 80 pod vata bazaltica și folie aluminiu -tabla acoperiș 0.5mm vopsea grande mat - ID anunț : 1672966730",23.01.2015,1,136731.234375,2015-01-23,3971.0,0,-6731.234375
9,Anunț,159000,EUR,5,141,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/case-vile/anunt/vand-casa-1-h-de-teren/e8e42e4gd71679he2ei0e61000i5idhf.html,images_case/anunt_9_img_0.webp|images_case/anunt_9_img_1.webp|images_case/anunt_9_img_2.webp|images_case/anunt_9_img_3.webp,4,,Vand casa.in judetul Botoșani..com Hudești.Sat Baseu..toate detaliile la tell... ID anunț : 1763540209,12.07.2024,1,172224.515625,2024-12-07,365.0,0,-13224.515625
10,Anunț,200000,EUR,3,178,https://www.publi24.ro/anunturi/imobiliare/de-vanzare/case/case-vile/anunt/casa-moderna-direct-de-la-proprietar/0h0f738fdf907075d38e84333d0eie03.html,images_case/anunt_10_img_0.webp|images_case/anunt_10_img_1.webp|images_case/anunt_10_img_2.webp|images_case/anunt_10_img_3.webp,4,,"Casă modernă, construită integral din cărămidă Porotherm în 2020, situata într-o zonă liniștită ( str. Stan Dragu, Aradul Nou), aproape de supermarket, cu acces rapid la autostradă. Imobilul oferă confort, spațiu si eficienta energetica, compartimentare practică, fiind ideal pentru o familie. Caracteristici principale: 2 dormitoare, dressing, baie, living luminos open-space cu bucataria, mobilă la comandă+electrocasnice moderne incluse, hol acces generos, terasă, garaj pentru 2 masini, camera tehnica, curte ideala pentru amenajări. Dotări: Încălzire in pardoseala, aer condiționat, panou solar pentru încălzirea apei, centrală termică pe peleti+ termostat ambiental- soluție eficientă si economică,  utilități complete, izolatie termica 10 cm, acoperiș Bramac, toate utilitățile racordate, locație excelenta. Se vinde direct de la proprietar, fara comision. Casa moderna, gata de mutat. Rog firmele imobiliare sa nu ma contacteze. ID anunț : 1763767648",21.10.2022,1,136291.203125,2022-10-21,1143.0,0,63708.796875
